"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"29",1,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,1,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0.0476190476190476,0.285714285714286,0.142857142857143,0.0476190476190476,0,0,0.19047619047619,0,0.285714285714286,0,0
"34",1,0,0.193548387096774,0.516129032258064,0.193548387096774,0.0483870967741935,0,0,0,0,0.0483870967741935,0,0
"35",1,0,0,0,0.5,0,0,0,0,0,0,0.5,0
"36",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0,0,0,0,0,1,0,0
"39",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"40",0,1,0,0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,0.75,0,0,0,0,0,0,0.25,0,0,0
"43",1,0,0,0.2,0.6,0,0,0,0,0,0,0.2,0
"44",1,0,0.833333333333333,0,0,0.166666666666667,0,0,0,0,0,0,0
"45",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"46",1,0,0,0,0.6,0,0,0.2,0,0,0,0.2,0
"47",0,1,0,0,0,0,0,0,0,0,0,0,0
"48",1,0,0.283333333333333,0.483333333333333,0.116666666666667,0.05,0.05,0,0,0.0166666666666667,0,0,0
"49",1,0,0.619047619047619,0,0,0.0476190476190476,0,0,0,0.333333333333333,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"52",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"53",1,0,1,0,0,0,0,0,0,0,0,0,0
"54",1,0,0,0,1,0,0,0,0,0,0,0,0
"55",1,0,0,0,1,0,0,0,0,0,0,0,0
"56",1,0,0.6,0,0,0,0,0,0.4,0,0,0,0
"57",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"58",1,0,0.8,0,0,0,0,0,0.2,0,0,0,0
"59",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"60",1,0,0,0,1,0,0,0,0,0,0,0,0
"61",1,0,0,0,1,0,0,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0.285714285714286,0.19047619047619,0,0,0.0476190476190476,0,0.19047619047619,0.142857142857143,0.0952380952380952,0.0476190476190476,0
"64",1,0,0.595238095238096,0.285714285714286,0.0238095238095238,0.0238095238095238,0,0,0.0238095238095238,0,0.0476190476190476,0,0
"65",1,0,1,0,0,0,0,0,0,0,0,0,0
"66",1,0,1,0,0,0,0,0,0,0,0,0,0
"67",1,0,0,1,0,0,0,0,0,0,0,0,0
"68",1,0,0,0,1,0,0,0,0,0,0,0,0
"69",1,0,1,0,0,0,0,0,0,0,0,0,0
"70",1,0,0,0.25,0.75,0,0,0,0,0,0,0,0
"71",1,0,1,0,0,0,0,0,0,0,0,0,0
"72",1,0,0,0,0.5,0,0,0,0,0,0,0.5,0
"73",0,1,0,0,0,0,0,0,0,0,0,0,0
"74",1,0,0.4,0,0,0,0,0,0,0.6,0,0,0
"75",1,0,1,0,0,0,0,0,0,0,0,0,0
"76",1,0,1,0,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,1,0,0,0,0,0,0,0,0
"78",1,0,1,0,0,0,0,0,0,0,0,0,0
"79",1,0,0,0,1,0,0,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0,0,0,0,0,0
"81",1,0,1,0,0,0,0,0,0,0,0,0,0
"82",1,0,0.4375,0.125,0,0,0,0,0.375,0,0.0625,0,0
"83",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"84",1,0,1,0,0,0,0,0,0,0,0,0,0
"85",1,0,0.75,0,0,0,0,0,0,0,0.25,0,0
"86",0,1,0,0,0,0,0,0,0,0,0,0,0
"87",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0
"88",1,0,0,1,0,0,0,0,0,0,0,0,0
"89",1,0,0,1,0,0,0,0,0,0,0,0,0
"90",0,1,0,0,0,0,0,0,0,0,0,0,0
"91",1,0,1,0,0,0,0,0,0,0,0,0,0
"92",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"93",1,0,0,0,1,0,0,0,0,0,0,0,0
"94",0,1,0,0,0,0,0,0,0,0,0,0,0
"95",1,0,1,0,0,0,0,0,0,0,0,0,0
"96",0,1,0,0,0,0,0,0,0,0,0,0,0
"97",1,0,0.204545454545455,0.477272727272727,0.147727272727273,0,0,0,0.0340909090909091,0.0681818181818182,0.0454545454545455,0.0227272727272727,0
"98",1,0,0.312977099236642,0.190839694656489,0.0763358778625954,0.0152671755725191,0.00763358778625954,0.0152671755725191,0.0610687022900763,0.198473282442748,0.0916030534351145,0.0305343511450382,0
"99",1,0,0.16,0.268571428571429,0.0971428571428571,0.0171428571428571,0.04,0.00571428571428571,0.12,0.102857142857143,0.12,0.0685714285714286,0
"100",1,0,0.5,0,0,0.125,0,0,0.375,0,0,0,0
"101",1,0,0.0909090909090909,0.363636363636364,0.181818181818182,0,0.0909090909090909,0,0,0.272727272727273,0,0,0
"102",1,0,0.352941176470588,0.176470588235294,0,0.0588235294117647,0.0588235294117647,0,0.235294117647059,0.0588235294117647,0.0588235294117647,0,0
"103",1,0,0,0,0.5,0,0,0,0,0.5,0,0,0
"104",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"105",1,0,0.37037037037037,0.111111111111111,0,0.0740740740740741,0,0,0.259259259259259,0.037037037037037,0.148148148148148,0,0
"106",0,1,0,0,0,0,0,0,0,0,0,0,0
"107",1,0,0.3125,0.21875,0,0.09375,0.0625,0,0.25,0.0625,0,0,0
"108",0,1,0,0,0,0,0,0,0,0,0,0,0
"109",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"110",1,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0
"111",1,0,0.166666666666667,0.333333333333333,0,0,0,0,0.166666666666667,0,0.333333333333333,0,0
"112",0,1,0,0,0,0,0,0,0,0,0,0,0
"113",1,0,0.363636363636364,0,0.136363636363636,0.0454545454545455,0,0,0.0454545454545455,0.136363636363636,0.272727272727273,0,0
"114",0,1,0,0,0,0,0,0,0,0,0,0,0
"115",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"116",1,0,0.375,0,0,0.5,0,0,0.125,0,0,0,0
"117",1,0,0,0,0,0,0,0,0,1,0,0,0
"118",0,1,0,0,0,0,0,0,0,0,0,0,0
"119",1,0,0,0.5,0,0,0,0,0,0.25,0,0.25,0
"120",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"121",0,1,0,0,0,0,0,0,0,0,0,0,0
"122",1,0,0.428571428571429,0,0,0.428571428571429,0,0,0.142857142857143,0,0,0,0
"123",1,0,0,0,0,1,0,0,0,0,0,0,0
"124",1,0,0.5,0.25,0,0,0,0,0,0.25,0,0,0
"125",1,0,0.375,0,0,0.25,0,0,0.375,0,0,0,0
"126",0,1,0,0,0,0,0,0,0,0,0,0,0
"127",1,0,0.571428571428571,0,0,0,0,0,0,0.285714285714286,0.142857142857143,0,0
"128",1,0,0.62962962962963,0.148148148148148,0,0,0,0,0,0.148148148148148,0.037037037037037,0.037037037037037,0
"129",1,0,1,0,0,0,0,0,0,0,0,0,0
"130",1,0,1,0,0,0,0,0,0,0,0,0,0
"131",1,0,0,1,0,0,0,0,0,0,0,0,0
"132",1,0,1,0,0,0,0,0,0,0,0,0,0
"133",1,0,0,0,1,0,0,0,0,0,0,0,0
"134",1,0,0,1,0,0,0,0,0,0,0,0,0
"135",0,1,0,0,0,0,0,0,0,0,0,0,0
"136",0,1,0,0,0,0,0,0,0,0,0,0,0
"137",1,0,1,0,0,0,0,0,0,0,0,0,0
"138",1,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0
"139",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"140",1,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0
"141",0,1,0,0,0,0,0,0,0,0,0,0,0
"142",1,0,0.0701754385964912,0.385964912280702,0.280701754385965,0,0.0175438596491228,0,0.0350877192982456,0.0350877192982456,0.087719298245614,0.087719298245614,0
"143",1,0,0.5,0,0.125,0,0,0,0.125,0,0.25,0,0
"144",1,0,0.25,0.5,0,0,0,0,0.25,0,0,0,0
"145",0,1,0,0,0,0,0,0,0,0,0,0,0
"146",1,0,0,0,1,0,0,0,0,0,0,0,0
"147",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"148",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"149",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"150",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"151",0,1,0,0,0,0,0,0,0,0,0,0,0
"152",1,0,0,0,1,0,0,0,0,0,0,0,0
"153",1,0,0.142857142857143,0.714285714285714,0.142857142857143,0,0,0,0,0,0,0,0
"154",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"155",1,0,1,0,0,0,0,0,0,0,0,0,0
"156",0,1,0,0,0,0,0,0,0,0,0,0,0
"157",1,0,0.30952380952381,0.428571428571429,0.142857142857143,0,0,0,0,0.0952380952380952,0.0238095238095238,0,0
"158",1,0,0.395348837209302,0.186046511627907,0.0232558139534884,0.0232558139534884,0.0232558139534884,0,0.13953488372093,0.162790697674419,0.0465116279069767,0,0
"159",0,1,0,0,0,0,0,0,0,0,0,0,0
"160",1,0,0.25,0.5,0,0,0,0,0.125,0.125,0,0,0
"161",1,0,0.444444444444444,0.222222222222222,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0
"162",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"163",1,0,0,0,1,0,0,0,0,0,0,0,0
"164",0,1,0,0,0,0,0,0,0,0,0,0,0
"165",1,0,0.4,0.4,0,0,0,0,0.2,0,0,0,0
"166",1,0,0.5,0.166666666666667,0,0.0833333333333333,0,0,0.166666666666667,0.0833333333333333,0,0,0
"167",1,0,0.714285714285714,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"168",1,0,0.555555555555556,0,0,0.111111111111111,0,0,0.333333333333333,0,0,0,0
"169",1,0,0.2,0.6,0,0,0,0,0.2,0,0,0,0
"170",1,0,0,0,1,0,0,0,0,0,0,0,0
"171",0,1,0,0,0,0,0,0,0,0,0,0,0
"172",1,0,0.770833333333334,0.104166666666667,0,0,0,0,0,0.125,0,0,0
"173",1,0,0.336842105263158,0.242105263157895,0.0421052631578947,0.0315789473684211,0,0,0.0842105263157895,0.126315789473684,0.115789473684211,0.0210526315789474,0
"174",1,0,0.2,0.8,0,0,0,0,0,0,0,0,0
"175",1,0,0,1,0,0,0,0,0,0,0,0,0
"176",1,0,0,0,1,0,0,0,0,0,0,0,0
"177",1,0,0.8,0.2,0,0,0,0,0,0,0,0,0
"178",1,0,0.888888888888889,0,0,0.0555555555555556,0,0,0.0555555555555556,0,0,0,0
"179",1,0,0.6,0.2,0,0.2,0,0,0,0,0,0,0
"180",1,0,1,0,0,0,0,0,0,0,0,0,0
"181",1,0,0.588235294117647,0,0,0.294117647058824,0,0,0.117647058823529,0,0,0,0
"182",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"183",1,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0,0,0,0
"184",1,0,0.625,0,0,0.125,0,0,0.25,0,0,0,0
"185",0,1,0,0,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,0,0,0,0,0,0,0,0,0
"187",1,0,0.297297297297297,0.256756756756757,0.0810810810810811,0.0405405405405405,0,0.0135135135135135,0.0540540540540541,0.108108108108108,0.148648648648649,0,0
"188",1,0,1,0,0,0,0,0,0,0,0,0,0
"189",1,0,0.5,0.333333333333333,0,0,0,0,0.166666666666667,0,0,0,0
"190",1,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0
"191",1,0,0,0,1,0,0,0,0,0,0,0,0
"192",1,0,0.25,0.75,0,0,0,0,0,0,0,0,0
"193",0,1,0,0,0,0,0,0,0,0,0,0,0
"194",1,0,1,0,0,0,0,0,0,0,0,0,0
"195",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"196",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"197",1,0,0,1,0,0,0,0,0,0,0,0,0
"198",1,0,0,1,0,0,0,0,0,0,0,0,0
"199",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"200",1,0,1,0,0,0,0,0,0,0,0,0,0
"201",0,1,0,0,0,0,0,0,0,0,0,0,0
"202",1,0,0.358490566037736,0.39622641509434,0.113207547169811,0.0188679245283019,0,0,0.0566037735849057,0,0.0566037735849057,0,0
"203",1,0,0.411764705882353,0.235294117647059,0,0,0,0,0.294117647058824,0,0.0588235294117647,0,0
"204",1,0,0.6,0,0,0.3,0,0,0.1,0,0,0,0
"205",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"206",1,0,0.714285714285714,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"207",0,1,0,0,0,0,0,0,0,0,0,0,0
"208",1,0,0.571428571428571,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0,0
"209",0,1,0,0,0,0,0,0,0,0,0,0,0
"210",1,0,0.714285714285714,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"211",1,0,0.357142857142857,0.285714285714286,0,0.0714285714285714,0.0714285714285714,0,0.142857142857143,0.0714285714285714,0,0,0
"212",1,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0
"213",0,1,0,0,0,0,0,0,0,0,0,0,0
"214",1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"215",1,0,0,1,0,0,0,0,0,0,0,0,0
"216",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"217",0,1,0,0,0,0,0,0,0,0,0,0,0
"218",1,0,0.380952380952381,0.30952380952381,0.0952380952380952,0,0,0,0,0.0952380952380952,0.0714285714285714,0.0476190476190476,0
"219",1,0,0.39622641509434,0.39622641509434,0.0943396226415094,0,0,0,0.0754716981132075,0,0.0377358490566038,0,0
"220",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
"221",1,0,0.444444444444444,0.444444444444444,0,0,0,0,0.111111111111111,0,0,0,0
"222",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"223",1,0,1,0,0,0,0,0,0,0,0,0,0
"224",1,0,1,0,0,0,0,0,0,0,0,0,0
"225",1,0,0,0,1,0,0,0,0,0,0,0,0
"226",1,0,0.875,0,0,0,0,0,0.125,0,0,0,0
"227",1,0,0.166666666666667,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0
"228",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"229",1,0,0.875,0,0,0,0,0,0.125,0,0,0,0
"230",1,0,0,0,1,0,0,0,0,0,0,0,0
"231",1,0,1,0,0,0,0,0,0,0,0,0,0
"232",0,1,0,0,0,0,0,0,0,0,0,0,0
"233",1,0,0.3,0.44,0.12,0,0.02,0,0.06,0.06,0,0,0
"234",0,1,0,0,0,0,0,0,0,0,0,0,0
"235",1,0,1,0,0,0,0,0,0,0,0,0,0
"236",1,0,1,0,0,0,0,0,0,0,0,0,0
"237",0,1,0,0,0,0,0,0,0,0,0,0,0
"238",0,1,0,0,0,0,0,0,0,0,0,0,0
"239",1,0,0,0,0,0.5,0,0,0.5,0,0,0,0
"240",0,1,0,0,0,0,0,0,0,0,0,0,0
"241",0,1,0,0,0,0,0,0,0,0,0,0,0
"242",0,1,0,0,0,0,0,0,0,0,0,0,0
"243",0,1,0,0,0,0,0,0,0,0,0,0,0
"244",0,1,0,0,0,0,0,0,0,0,0,0,0
"245",1,0,0,0,0,0,0,0,0,1,0,0,0
"246",0,1,0,0,0,0,0,0,0,0,0,0,0
"247",1,0,0.425925925925926,0.111111111111111,0,0.0185185185185185,0.037037037037037,0.0185185185185185,0.185185185185185,0.185185185185185,0.0185185185185185,0,0
"248",1,0,0.151898734177215,0.265822784810127,0.0886075949367089,0.0506329113924051,0,0,0.20253164556962,0.0379746835443038,0.20253164556962,0,0
"249",1,0,0.578947368421052,0.131578947368421,0,0.0263157894736842,0.0263157894736842,0,0.157894736842105,0.0263157894736842,0.0526315789473684,0,0
"250",1,0,0.269230769230769,0.153846153846154,0,0.0384615384615385,0.0769230769230769,0,0.346153846153846,0.0769230769230769,0.0384615384615385,0,0
"251",1,0,0.461538461538462,0,0,0.307692307692308,0,0,0.230769230769231,0,0,0,0
"252",1,0,0.121212121212121,0.151515151515152,0,0.151515151515152,0.0606060606060606,0,0.363636363636364,0.0303030303030303,0.121212121212121,0,0
"253",1,0,0.142857142857143,0.571428571428571,0.285714285714286,0,0,0,0,0,0,0,0
"254",1,0,0.210526315789474,0,0,0.105263157894737,0,0,0.684210526315789,0,0,0,0
"255",0,1,0,0,0,0,0,0,0,0,0,0,0
"256",1,0,0,1,0,0,0,0,0,0,0,0,0
"257",1,0,0.458333333333333,0,0,0.0833333333333333,0,0,0.458333333333333,0,0,0,0
"258",1,0,0.346153846153846,0,0,0.153846153846154,0,0,0.5,0,0,0,0
"259",1,0,0,1,0,0,0,0,0,0,0,0,0
"260",1,0,0.296296296296296,0.185185185185185,0,0.0740740740740741,0.0740740740740741,0,0.222222222222222,0.0740740740740741,0.0740740740740741,0,0
"261",1,0,0,0,1,0,0,0,0,0,0,0,0
"262",0,1,0,0,0,0,0,0,0,0,0,0,0
"263",1,0,0.380952380952381,0.26984126984127,0.0634920634920635,0.0158730158730159,0,0,0.142857142857143,0,0.126984126984127,0,0
"264",0,1,0,0,0,0,0,0,0,0,0,0,0
"265",1,0,0,0,0,0,0,0,1,0,0,0,0
"266",1,0,0,0,0,0,0,0,1,0,0,0,0
"267",0,1,0,0,0,0,0,0,0,0,0,0,0
"268",1,0,0,0,0,0,0,0,0,1,0,0,0
"269",1,0,0,0,0,0,0,0,0.5,0.5,0,0,0
"270",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"271",0,1,0,0,0,0,0,0,0,0,0,0,0
"272",1,0,0,0,0,0,0,0,1,0,0,0,0
"273",0,1,0,0,0,0,0,0,0,0,0,0,0
"274",0,1,0,0,0,0,0,0,0,0,0,0,0
"275",1,0,0,0,0,0,0,0,1,0,0,0,0
"276",1,0,0,0,0,0,0,0,1,0,0,0,0
"277",0,1,0,0,0,0,0,0,0,0,0,0,0
"278",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
"279",1,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"280",0,1,0,0,0,0,0,0,0,0,0,0,0
"281",0,1,0,0,0,0,0,0,0,0,0,0,0
"282",1,0,1,0,0,0,0,0,0,0,0,0,0
"283",1,0,1,0,0,0,0,0,0,0,0,0,0
"284",1,0,1,0,0,0,0,0,0,0,0,0,0
"285",0,1,0,0,0,0,0,0,0,0,0,0,0
"286",1,0,1,0,0,0,0,0,0,0,0,0,0
"287",1,0,0,1,0,0,0,0,0,0,0,0,0
"288",1,0,1,0,0,0,0,0,0,0,0,0,0
"289",1,0,0,1,0,0,0,0,0,0,0,0,0
"290",1,0,1,0,0,0,0,0,0,0,0,0,0
"291",1,0,1,0,0,0,0,0,0,0,0,0,0
"292",0,1,0,0,0,0,0,0,0,0,0,0,0
"293",1,0,0.142857142857143,0.142857142857143,0.214285714285714,0.0357142857142857,0,0,0.178571428571429,0,0.285714285714286,0,0
"294",1,0,0,0,1,0,0,0,0,0,0,0,0
"295",1,0,0,0,0,0,1,0,0,0,0,0,0
"296",1,0,0,1,0,0,0,0,0,0,0,0,0
"297",1,0,0,0.5,0.25,0,0,0,0,0,0,0.25,0
"298",0,1,0,0,0,0,0,0,0,0,0,0,0
"299",1,0,0,0,1,0,0,0,0,0,0,0,0
"300",1,0,0.125,0.5,0,0,0.125,0,0.125,0,0.125,0,0
"301",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"302",0,1,0,0,0,0,0,0,0,0,0,0,0
"303",1,0,0,1,0,0,0,0,0,0,0,0,0
"304",1,0,0,1,0,0,0,0,0,0,0,0,0
"305",1,0,0.333333333333333,0.5,0,0,0,0,0.166666666666667,0,0,0,0
"306",0,1,0,0,0,0,0,0,0,0,0,0,0
"307",1,0,0.521739130434782,0.304347826086957,0,0,0,0,0.0434782608695652,0.130434782608696,0,0,0
"308",1,0,0.407894736842105,0.381578947368421,0.0921052631578947,0,0,0,0,0.0789473684210526,0,0.0394736842105263,0
"309",1,0,0.6,0,0,0,0,0,0.4,0,0,0,0
"310",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"311",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"312",1,0,0,1,0,0,0,0,0,0,0,0,0
"313",1,0,0.2,0.4,0,0,0,0,0.2,0,0.2,0,0
"314",1,0,0.285714285714286,0,0,0,0,0,0.285714285714286,0.428571428571429,0,0,0
"315",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"316",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0,0
"317",1,0,0.2,0.2,0,0,0,0,0,0.6,0,0,0
"318",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"319",1,0,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0
"320",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"321",0,1,0,0,0,0,0,0,0,0,0,0,0
"322",1,0,0.373493975903614,0.36144578313253,0.036144578313253,0.036144578313253,0,0,0.0963855421686747,0.0481927710843374,0.0240963855421687,0.0240963855421687,0
"323",1,0,0.727272727272727,0.181818181818182,0,0,0,0,0,0.0606060606060606,0,0.0303030303030303,0
"324",1,0,0.296296296296296,0.296296296296296,0.0740740740740741,0.037037037037037,0,0,0.148148148148148,0,0.148148148148148,0,0
"325",1,0,0.428571428571429,0.285714285714286,0,0,0,0,0,0.285714285714286,0,0,0
"326",1,0,0.3,0.3,0,0.1,0,0,0.2,0,0.1,0,0
"327",1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"328",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"329",1,0,0,0.5,0.25,0,0,0,0,0.25,0,0,0
"330",1,0,1,0,0,0,0,0,0,0,0,0,0
"331",1,0,0,0,1,0,0,0,0,0,0,0,0
"332",1,0,0.230769230769231,0.230769230769231,0,0.0769230769230769,0,0,0.0769230769230769,0.230769230769231,0,0.153846153846154,0
"333",1,0,0,0,0.5,0,0,0.25,0,0,0,0.25,0
"334",1,0,0,1,0,0,0,0,0,0,0,0,0
"335",0,1,0,0,0,0,0,0,0,0,0,0,0
"336",1,0,0.875,0,0,0.125,0,0,0,0,0,0,0
"337",0,1,0,0,0,0,0,0,0,0,0,0,0
"338",1,0,0.455882352941177,0.323529411764706,0.0588235294117647,0.0294117647058824,0,0,0.0294117647058824,0.102941176470588,0,0,0
"339",1,0,0.377049180327869,0.311475409836066,0.0491803278688525,0.0491803278688525,0,0,0.180327868852459,0,0.0327868852459016,0,0
"340",1,0,0.484848484848485,0.0909090909090909,0.0303030303030303,0.0303030303030303,0,0,0.121212121212121,0.181818181818182,0.0606060606060606,0,0
"341",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"342",1,0,0.6875,0,0,0.1875,0,0,0.125,0,0,0,0
"343",1,0,0.4,0,0,0.2,0,0,0.4,0,0,0,0
"344",1,0,0.24,0.28,0,0.12,0,0,0.24,0,0.12,0,0
"345",1,0,0.266666666666667,0.266666666666667,0,0.166666666666667,0,0,0.2,0,0.1,0,0
"346",1,0,0.428571428571429,0,0,0.19047619047619,0,0,0.380952380952381,0,0,0,0
"347",1,0,0.611111111111111,0,0,0.0555555555555556,0,0,0.333333333333333,0,0,0,0
"348",0,1,0,0,0,0,0,0,0,0,0,0,0
"349",1,0,0.384615384615385,0,0,0.153846153846154,0,0,0.461538461538462,0,0,0,0
"350",0,1,0,0,0,0,0,0,0,0,0,0,0
"351",1,0,0.357142857142857,0,0,0.142857142857143,0,0,0.5,0,0,0,0
"352",1,0,0,0,1,0,0,0,0,0,0,0,0
"353",0,1,0,0,0,0,0,0,0,0,0,0,0
"354",1,0,0.9375,0,0,0,0,0,0.0625,0,0,0,0
"355",1,0,0.611940298507463,0.119402985074627,0,0.149253731343284,0,0,0.0597014925373134,0.0597014925373134,0,0,0
"356",1,0,1,0,0,0,0,0,0,0,0,0,0
"357",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"358",0,1,0,0,0,0,0,0,0,0,0,0,0
"359",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
"360",1,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"361",1,0,0.714285714285714,0,0,0,0,0,0.285714285714286,0,0,0,0
"362",1,0,0.571428571428571,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0,0
"363",1,0,0,0,0,0,0,0,1,0,0,0,0
"364",0,1,0,0,0,0,0,0,0,0,0,0,0
