"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"99","potG",0,1,0,0,0,0,0,0,0
"100","potH",0,1,0,0,0,0,0,0,0
"101","potI",0,1,0,0,0,0,0,0,0
"102","yhdW",0,1,0,0,0,0,0,0,0
"103","pdeL",0,1,0,0,0,0,0,0,0
"104","prpE",0,1,0,0,0,0,0,0,0
"105","appA",0,1,0,0,0,0,0,0,0
"106","appB",0,1,0,0,0,0,0,0,0
"107","betA",0,1,0,0,0,0,0,0,0
"108","betB",0,1,0,0,0,0,0,0,0
"109","betI",0,1,0,0,0,0,0,0,0
"110","caiD",0,1,0,0,0,0,0,0,0
"111","lldR",0,1,0,0,0,0,0,0,0
"112","slp",0,1,0,0,0,0,0,0,0
"113","hdeB",0,1,0,0,0,0,0,0,0
"114","hdeD",0,1,0,0,0,0,0,0,0
"115","hdeA",0,1,0,0,0,0,0,0,0
"116","yccJ",0,1,0,0,0,0,0,0,0
"117","yhiM",0,1,0,0,0,0,0,0,0
"118","wrbA",0,1,0,0,0,0,0,0,0
"119","gadB",0,1,0,0,0,0,0,0,0
"120","gadA",0,1,0,0,0,0,0,0,0
"121","ybaT",0,1,0,0,0,0,0,0,0
"122","glcC",0,1,0,0,0,0,0,0,0
"123","gltB",0,1,0,0,0,0,0,0,0
"124","gltD",0,1,0,0,0,0,0,0,0
"125","lldD",0,1,0,0,0,0,0,0,0
"126","rcsA",1,0,1,0,0,0,0.5,0.5,0
"127","purD",0,1,0,0,0,0,0,0,0
"128","putA",0,1,0,0,0,0,0,0,0
"129","fliA",1,0,0,1,0,0.375,0.125,0.5,0
"130","fliE",0,1,0,0,0,0,0,0,0
"131","fliF",0,1,0,0,0,0,0,0,0
"132","fliG",0,1,0,0,0,0,0,0,0
"133","fliH",0,1,0,0,0,0,0,0,0
"134","fliI",0,1,0,0,0,0,0,0,0
"135","fliJ",0,1,0,0,0,0,0,0,0
"136","fliK",0,1,0,0,0,0,0,0,0
"137","hisJ",0,1,0,0,0,0,0,0,0
"138","fliZ",1,0,1,0,0.107142857142857,0.142857142857143,0.178571428571429,0.571428571428571,0
"139","purH",0,1,0,0,0,0,0,0,0
"140","nlpA",0,1,0,0,0,0,0,0,0
"141","nrdF",0,1,0,0,0,0,0,0,0
"142","cyoC",0,1,0,0,0,0,0,0,0
"143","cyoD",0,1,0,0,0,0,0,0,0
"144","cyoE",0,1,0,0,0,0,0,0,0
"145","lldP",0,1,0,0,0,0,0,0,0
"146","rmf",0,1,0,0,0,0,0,0,0
