"","V1","FFL","No_FFL","NonPl_X"
"242","hisH",1,0,0
"243","hisI",1,0,0
"244","hisJ",1,0,0
"245","ispE",0,1,0
"246","malT",1,0,0
"247","fliS",1,0,0
"248","fliT",1,0,0
"249","fliZ",1,0,0
"250","galM",1,0,0
"251","gdhA",1,0,0
"252","yhgH",1,0,0
"253","groL",1,0,0
"254","groS",1,0,0
"255","grpE",1,0,0
"256","hslO",0,1,0
"257","hslU",0,1,0
"258","hslV",0,1,0
"259","htpG",1,0,0
"260","ygiM",1,0,0
"261","osmB",1,0,0
"262","potD",0,1,0
"263","purA",1,0,0
"264","purC",1,0,0
"265","purH",1,0,0
"266","purK",1,0,0
"267","purM",1,0,0
"268","pyrB",0,1,0
"269","pyrC",1,0,0
"270","pyrL",1,0,0
"271","lipB",1,0,0
"272","lon",1,0,0
"273","modB",1,0,0
"274","motA",1,0,0
"275","motB",1,0,0
"276","nhaB",0,1,0
"277","nlpA",1,0,0
"278","nupG",1,0,0
"279","ompT",1,0,0
"280","prlC",0,1,0
"281","rbsB",1,0,0
"282","rbsD",1,0,0
"283","rbsK",1,0,0
"284","ymcE",0,1,0
"285","sthA",1,0,0
"286","sucA",1,0,0
"287","sucD",1,0,0
"288","tas",0,1,0
"289","tehA",0,1,0
"290","thrC",1,0,0
"291","trpB",1,0,0
"292","uspD",1,0,0
"293","xseA",1,0,0
"294","yagU",1,0,0
"295","ybaK",0,1,0
"296","ybfD",0,1,0
"297","ybjC",1,0,0
"298","tatD",0,1,0
"299","tgt",0,1,0
"300","tnaB",1,0,0
"301","tnaC",1,0,0
"302","treB",1,0,0
"303","treC",1,0,0
"304","ubiB",0,1,0
"305","yagE",0,1,0
"306","yajC",0,1,0
"307","ybaL",0,1,0
"308","ybfA",0,1,0
"309","ybjN",1,0,0
"310","ycfP",0,1,0
"311","ydgD",0,1,0
"312","ydiH",0,1,0
"313","yecD",0,1,0
"314","yejG",1,0,0
"315","yfcA",0,1,0
"316","yfcD",0,1,0
"317","yfcE",0,1,0
"318","yfjF",0,1,0
"319","ygbE",0,1,0
"320","yccA",1,0,0
"321","ydhF",0,1,0
"322","ygaH",0,1,0
"323","ygaZ",0,1,0
"324","ygdR",0,1,0
"325","yghG",0,1,0
"326","yghJ",0,1,0
"327","ygiB",1,0,0
"328","ygdQ",0,1,0
"329","ygiW",0,1,0
"330","yhcN",0,1,0
"331","yheO",0,1,0
"332","yieE",1,0,0
"333","yieF",0,1,0
"334","yigI",1,0,0
"335","yjeM",1,0,0
"336","yjjU",0,1,0
"337","ykgA",0,1,0
"338","ylaC",0,1,0
"339","yncD",0,1,0
"340","yodC",0,1,0
"341","yraQ",0,1,0
"342","yhaL",0,1,0
"343","yhiI",0,1,0
"344","yjiA",0,1,0
"345","yjiX",0,1,0
"346","ykfF",0,1,0
"347","ylbF",0,1,0
"348","yncE",1,0,0
"349","yqjA",1,0,0
"350","yqjC",0,1,0
"351","yqjD",0,1,0
"352","ytfJ",1,0,0
"353","recA",0,1,0
"354","rnk",0,1,0
"355","serU",0,1,0
"356","slt",1,0,0
"357","speA",1,0,0
"358","speD",0,1,0
"359","spy",1,0,0
"360","tatA",0,1,0
"361","tatB",0,1,0
"362","ubiE",0,1,0
"363","uvrY",1,0,0
"364","yciB",0,1,0
"365","yciC",0,1,0
"366","yciI",0,1,0
"367","yebE",1,0,0
"368","ygiC",1,0,0
"369","yihA",0,1,0
"370","yijD",0,1,0
"371","ynfD",0,1,0
"372","yqaE",1,0,0
"373","yqgB",0,1,0
"374","speG",1,0,0
"375","srlA",1,0,0
"376","srlB",1,0,0
"377","srlD",1,0,0
"378","srlE",1,0,0
"379","srlR",1,0,0
"380","tap",1,0,0
"381","tar",1,0,0
"382","tsr",1,0,0
"383","tsx",1,0,0
"384","udp",1,0,0
"385","yafE",0,1,0
"386","yafY",0,1,0
"387","ybeX",1,0,0
"388","ybeY",0,1,0
"389","ybeZ",0,1,0
"390","ybiX",0,1,0
"391","ybjX",1,0,0
"392","ycgR",1,0,0
"393","ycjX",0,1,0
"394","yeaD",1,0,0
"395","yebW",0,1,0
"396","yecR",1,0,0
"397","yeeR",0,1,0
"398","yffB",1,0,0
"399","ygiS",0,1,0
"400","yhhQ",0,1,0
"401","yiaD",0,1,0
"402","ykfB",0,1,0
"403","ymdA",1,0,0
"404","yneE",0,1,0
"405","ynfB",1,0,0
"406","zntR",1,0,0
"407","allA",0,1,0
"408","cdh",0,1,0
"409","dnaA",1,0,0
"410","dnaN",1,0,0
"411","entE",1,0,0
"412","fecA",1,0,0
"413","fecB",1,0,0
"414","fecC",1,0,0
"415","fecD",1,0,0
"416","fecE",1,0,0
"417","fepA",1,0,0
"418","fhuC",1,0,0
"419","frwB",0,1,0
"420","ftsA",1,0,0
"421","ftsQ",1,0,0
"422","fucK",1,0,0
"423","galK",1,0,0
"424","gntT",1,0,0
"425","gpmM",1,0,0
"426","gpsA",1,0,0
"427","hrpB",0,1,0
"428","hslR",0,1,0
"429","hupA",1,0,0
"430","hybA",1,0,0
"431","idnT",1,0,0
"432","lnt",0,1,0
"433","lpxB",0,1,0
"434","malF",1,0,0
"435","malG",1,0,0
"436","malK",1,0,0
"437","malM",1,0,0
"438","malP",1,0,0
"439","malQ",1,0,0
"440","mdlB",0,1,0
"441","menA",1,0,0
"442","mltB",0,1,0
"443","modC",1,0,0
"444","murG",1,0,0
"445","napC",1,0,0
"446","narY",0,1,0
"447","nrdF",1,0,0
"448","pflC",0,1,0
"449","pheA",0,1,0
"450","phoB",1,0,0
"451","phoU",1,0,0
"452","aceE",1,0,0
"453","acnB",1,0,0
"454","adk",0,1,0
"455","ahpC",1,0,0
"456","aldA",1,0,0
"457","apaG",1,0,0
"458","argS",1,0,0
"459","aspC",1,0,0
"460","avtA",0,1,0
"461","can",1,0,0
"462","wzzB",0,1,0
"463","cyoA",1,0,0
"464","cyoC",1,0,0
"465","cyoD",1,0,0
"466","cyoE",1,0,0
"467","cysZ",0,1,0
"468","dld",0,1,0
"469","dsbB",0,1,0
"470","emrA",0,1,0
"471","fabI",0,1,0
"472","fadR",1,0,0
"473","fdx",0,1,0
"474","fnr",1,0,0
"475","folE",1,0,0
"476","fpr",1,0,0
"477","galF",0,1,0
"478","ghrA",0,1,0
"479","glf",0,1,0
"480","gloA",1,0,0
"481","gltX",1,0,0
"482","gmhA",1,0,0
"483","gnd",1,0,0
"484","gpt",1,0,0
"485","guaA",1,0,0
"486","hha",1,0,0
"487","hpt",1,0,0
"488","iadA",0,1,0
"489","insA1",0,1,0
"490","insA2",0,1,0
"491","kdsA",1,0,0
"492","kdsB",0,1,0
"493","lgt",0,1,0
"494","lldP",1,0,0
"495","lysP",1,0,0
"496","mdtJ",1,0,0
"497","mdtL",0,1,0
"498","menB",0,1,0
"499","mepA",0,1,0
"500","metG",0,1,0
"501","metK",1,0,0
"502","miaB",0,1,0
"503","mipA",0,1,0
"504","mreB",1,0,0
"505","mrp",0,1,0
"506","mtn",1,0,0
"507","nadE",1,0,0
"508","ndh",1,0,0
"509","ndk",0,1,0
"510","nemA",1,0,0
"511","nuoG",1,0,0
"512","nuoH",1,0,0
"513","nuoI",1,0,0
"514","nuoJ",1,0,0
"515","nuoK",1,0,0
"516","nuoL",1,0,0
"517","ompR",1,0,0
"518","oppB",1,0,0
"519","oppC",1,0,0
"520","oppD",1,0,0
"521","oppF",1,0,0
"522","pal",1,0,0
"523","pdxH",0,1,0
"524","pepB",0,1,0
"525","pepN",0,1,0
"526","pepP",0,1,0
"527","pmrD",0,1,0
"528","psiF",1,0,0
"529","pstA",1,0,0
"530","pstB",1,0,0
"531","pstC",1,0,0
"532","pstS",1,0,0
"533","rne",0,1,0
"534","tdcB",1,0,0
"535","tdcC",1,0,0
"536","trkA",0,1,0
"537","ulaE",1,0,0
"538","ulaR",0,1,0
"539","pflA",0,1,0
"540","pgi",1,0,0
"541","pheM",1,0,0
"542","pncB",1,0,0
"543","ppsA",1,0,0
"544","ppx",1,0,0
"545","proC",0,1,0
"546","ptsG",1,0,0
"547","ptsH",1,0,0
"548","ptsI",1,0,0
"549","purU",1,0,0
"550","pyrG",0,1,0
"551","rcsB",1,0,0
"552","relA",1,0,0
"553","rfbC",0,1,0
"554","rfbD",0,1,0
"555","rfe",1,0,0
"556","rhlB",0,1,0
"557","uxaC",1,0,0
"558","yagF",0,1,0
"559","ybaV",0,1,0
"560","ybjG",0,1,0
"561","ycdZ",1,0,0
"562","ycjF",0,1,0
"563","ycjO",0,1,0
"564","yddB",0,1,0
"565","yghD",0,1,0
"566","rho",0,1,0
"567","ribA",1,0,0
"568","rmf",1,0,0
"569","rnb",0,1,0
"570","rnt",0,1,0
"571","rsd",1,0,0
"572","rsuA",0,1,0
"573","sdhC",1,0,0
"574","sdhD",1,0,0
"575","serC",1,0,0
"576","sfsB",1,0,0
"577","sppA",0,1,0
"578","sra",1,0,0
"579","surA",0,1,0
"580","tatE",0,1,0
"581","tehB",0,1,0
"582","tolB",1,0,0
"583","tolQ",0,1,0
"584","tpiA",1,0,0
"585","yhdT",0,1,0
"586","yhfS",0,1,0
"587","yhfU",0,1,0
"588","yhgE",0,1,0
"589","yicG",0,1,0
"590","yihF",0,1,0
"591","yjaB",0,1,0
"592","yjeJ",0,1,0
"593","yjfL",0,1,0
"594","yjgM",0,1,0
"595","ubiH",0,1,0
"596","xerC",0,1,0
"597","yadG",0,1,0
"598","yadH",0,1,0
"599","yaiA",1,0,0
"600","ybgC",0,1,0
"601","ybhB",0,1,0
"602","ycaR",0,1,0
"603","ycdX",0,1,0
"604","ycdY",0,1,0
"605","ychH",1,0,0
"606","ychJ",0,1,0
"607","ydfG",0,1,0
"608","yeaC",0,1,0
"609","yeaK",0,1,0
"610","yeeN",0,1,0
"611","yjhD",0,1,0
"612","ykgF",0,1,0
"613","ymdB",1,0,0
"614","yoaE",0,1,0
"615","yohK",0,1,0
"616","yqfA",0,1,0
"617","yrfG",0,1,0
"618","yeeZ",0,1,0
"619","yehS",0,1,0
"620","yeiG",0,1,0
"621","yfaE",1,0,0
"622","yfcZ",1,0,0
"623","yfdG",0,1,0
"624","yfdI",0,1,0
"625","yfjW",0,1,0
"626","ygdI",0,1,0
"627","yhjR",1,0,0
"628","yieP",0,1,0
"629","yjbQ",1,0,0
